Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Ireland,IRL,..,2626000000,10539000000,7934000000,7178000000,6837000000,6001000000,6222000000,6173000000,5774000000,6216000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Israel,ISR,..,3733000000,4967000000,4500000000,4683000000,4874000000,5008000000,5757000000,6534000000,7506000000,8607000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Italy,ITA,..,18169000000,30926000000,27947000000,26908000000,28727000000,26249000000,26950000000,28857000000,24417000000,24982000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Jamaica,JAM,..,238000000,312000000,259000000,235000000,213000000,418000000,392000000,457000000,413000000,424000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Japan,JPN,..,42643000000,38971000000,34787000000,39306000000,39760000000,40967000000,32244000000,28609000000,23252000000,25783000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Jordan,JOR,..,387000000,1140000000,1202000000,1736000000,1280000000,1257000000,1206000000,1251000000,1267000000,1367000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Kazakhstan,KAZ,..,483000000,1361000000,1319000000,1489000000,1831000000,2023000000,2147000000,2163000000,2155000000,1769000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Kenya,KEN,..,156000000,266000000,227000000,212000000,197000000,174000000,233000000,206000000,217000000,145000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Kiribati,KIR,..,..,6600000,11700000,10100000,12300000,7900000,7500000,5800000,5400000,8800000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,"Korea, Rep.",KOR,..,7945000000,21447000000,16355000000,20788000000,22195000000,22934000000,24459000000,26136000000,27957000000,29143000000,..
