faa_site_number,loc_id,airport_name,associated_city,state,region,ado,use,lat_dms,long_dms,lat_dd,long_dd,airport_ownership,part_139,npias_service_level,npias_hub_type,airport_control_tower,fuel,other_services,based_aircraft_total,total_operations
16144.*A,0G7,FINGER LAKES RGNL,SENECA FALLS,NY,AEA,NYC,PU,42-53-00.8000N,076-46-52.2000W,42.88355556,-76.78116667,PU,,General Aviation,,N,100LLA,AFRT  INSTR,20,12965
15309.*A,GFL,FLOYD BENNETT MEMORIAL,GLENS FALLS,NY,AEA,NYC,PU,43-20-28.4000N,073-36-37.1000W,43.34122222,-73.61030556,PU,IV A U 06/1976,General Aviation,,N,100LLA,CARGO  CHTR  INSTR  RNTL  SALES,53,24800
16408.*A,FOK,FRANCIS S GABRESKI,WESTHAMPTON BEACH,NY,AEA,NYC,PU,40-50-37.2000N,072-37-54.4000W,40.84366667,-72.63177778,PU,,General Aviation,,Y,100LLA,AVNCS  CHTR  GLD  INSTR  RNTL  SALES  TOW,67,58596
16307.1*A,6B4,FRANKFORT-HIGHLAND,UTICA/FRANKFORT,NY,AEA,NYC,PU,43-00-57.9850N,075-10-10.3500W,43.01610694,-75.16954167,PR,,General Aviation,,N,100LL,,0,11980
15504.*A,NY0,FULTON COUNTY,JOHNSTOWN,NY,AEA,NYC,PU,42-59-53.5000N,074-19-46.4000W,42.99819444,-74.32955556,PU,,General Aviation,,N,100LL,INSTR  RNTL  SALES,35,11200
14858.*A,GVQ,GENESEE COUNTY,BATAVIA,NY,AEA,NYC,PU,43-01-54.3000N,078-10-10.8000W,43.03175,-78.16966667,PU,,Reliever,,N,100LLA1+,AFRT  AGRI  AMB  CHTR  INSTR  RNTL,46,40000
14904.*A,BGM,GREATER BINGHAMTON/EDWIN A LINK FIELD,BINGHAMTON,NY,AEA,NYC,PU,42-12-30.3945N,075-58-46.5862W,42.20844292,-75.97960728,PU,I B S 05/1973,Primary,Non-Hub,Y,100LLA,AMB  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,33,15616
16034.*A,ROC,GREATER ROCHESTER INTL,ROCHESTER,NY,AEA,NYC,PU,43-07-08.9116N,077-40-18.7294W,43.11914211,-77.67186928,PU,I C S 05/1973,Primary,Small,Y,100LLA    J8,AVNCS  CARGO  CHTR  INSTR  RNTL  SALES  SURV,70,88443
16040.*A,RME,GRIFFISS INTL,ROME,NY,AEA,NYC,PU,43-14-01.7000N,075-24-25.3000W,43.23380556,-75.40702778,PU,IV A U 01/2007,General Aviation,,Y,100LLA,AFRT  CHTR  INSTR,56,28620
15362.2*A,VGC,HAMILTON MUNI,HAMILTON,NY,AEA,NYC,PU,42-50-36.4000N,075-33-40.3000W,42.84344444,-75.56119444,PU,,General Aviation,,N,100LLA    A+,GLD  INSTR,36,17310
15437.*A,HTF,HORNELL MUNI,HORNELL,NY,AEA,NYC,PU,42-22-55.7000N,077-40-55.6000W,42.38213889,-77.68211111,PU,,General Aviation,,N,100LLA,CHTR  INSTR  RNTL,9,19902
15989.2*A,POU,HUDSON VALLEY RGNL,POUGHKEEPSIE,NY,AEA,NYC,PU,41-37-35.7000N,073-53-03.1000W,41.62658333,-73.88419444,PU,IV A U 01/1985,General Aviation,,Y,100LLA,CARGO  CHTR  INSTR  RNTL  SALES,88,67606
15488.*A,ITH,ITHACA TOMPKINS RGNL,ITHACA,NY,AEA,NYC,PU,42-29-28.9000N,076-27-31.4000W,42.49136111,-76.45872222,PU,I B S 05/1973,Primary,Non-Hub,Y,100LLA,CHTR  INSTR  RNTL,49,32260
15793.*A,JFK,JOHN F KENNEDY INTL,NEW YORK,NY,AEA,NYC,PU,40-38-23.7327N,073-46-43.3019W,40.63992575,-73.77869497,PU,I E S 05/1973,Primary,Large,Y,100LLA,AFRT  CARGO,0,453605
15201.51*A,N89,JOSEPH Y RESNICK,ELLENVILLE,NY,AEA,NYC,PU,41-43-40.3360N,074-22-38.5530W,41.72787111,-74.37737583,PU,,General Aviation,,N,100LL,INSTR,27,5900
15525.1*A,20N,KINGSTON-ULSTER,KINGSTON,NY,AEA,NYC,PU,41-59-06.9000N,073-57-51.6000W,41.98525,-73.96433333,PR,,Reliever,,N,100LL,INSTR  RNTL,29,8000
16340.4*A,N45,KOBELT,WALLKILL,NY,AEA,NYC,PU,41-37-27.0000N,074-08-30.0000W,41.62416667,-74.14166667,PR,,Reliever,,N,100LL,AMB,25,15000
15794.*A,LGA,LAGUARDIA,NEW YORK,NY,AEA,NYC,PU,40-46-38.1000N,073-52-21.4000W,40.77725,-73.87261111,PU,I D S 05/1973,Primary,Large,Y,100LLA,AFRT  AVNCS  CARGO  CHTR,0,369499
